,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
29,,@raulrebolledo-w2l,"2025-11-18 00:07:40",1,yes,no,"SI BIEN ES CIERTO, QUE DESMANTELARON AL ESTADO,  AHORA ES HORA DE QUE LA SECTA DEL PARTIDO COMUNISTA REGRESE A LA REALIDAD Y RECUPERE SU ETERNO 7/8 POR CIENTO..ACOSTUMBRADO..",UCJo24EwPkNZnYFmI7StEnpg,Ugztyl447Od1TVh9MhJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugztyl447Od1TVh9MhJ4AaABAg
30,,@vivinaguzman5234,"2025-11-18 00:07:40",5,yes,no,"Brillante Núñez!!! Y",UCKlcOsVlAx0bF-31iDvpQ6g,UgwXxySzXU-Ki_dJkz14AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwXxySzXU-Ki_dJkz14AaABAg
31,,@vivinaguzman5234,"2025-11-18 00:07:40",1,yes,no,"Cosas sin hacer leyes..... 😮",UCKlcOsVlAx0bF-31iDvpQ6g,UgxAfUcoU60w9iEX-MR4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxAfUcoU60w9iEX-MR4AaABAg
32,,@vivinaguzman5234,"2025-11-18 00:07:40",2,yes,no,"El. Préstamo lo quieren sacar",UCKlcOsVlAx0bF-31iDvpQ6g,UgyqZqNOAN-_-n1ADd14AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgyqZqNOAN-_-n1ADd14AaABAg
33,,@vivinaguzman5234,"2025-11-18 00:07:40",4,yes,no,"La criptonita de Kast es Kast y Káiser 😂😂😂😂😂",UCKlcOsVlAx0bF-31iDvpQ6g,Ugzn-WLPFbc0yyDfhO54AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugzn-WLPFbc0yyDfhO54AaABAg
34,,@vivinaguzman5234,"2025-11-18 00:07:40",1,yes,no,"Núñez ha, Sepulveda que paso con el 10% del rechazo?",UCKlcOsVlAx0bF-31iDvpQ6g,UgyL_tx5KpYAaNFNCkh4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgyL_tx5KpYAaNFNCkh4AaABAg
35,,@vivinaguzman5234,"2025-11-18 00:07:40",1,yes,no,"Núñez, te ❤❤❤❤ no soy PC  @pepe_auth da pena",UCKlcOsVlAx0bF-31iDvpQ6g,UgxHhVVZ1dbHZzeeyhJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxHhVVZ1dbHZzeeyhJ4AaABAg
36,,@EduardoHidalgo-f7b,"2025-11-18 00:07:47",2,yes,no,"Jesus fue traicionado por Judas y Janet fue traicionada por gente   farisea",UC7lAnZ6B92ULwfDbMKB0G5A,Ugw9ap7mB3i5Fg5Pqnx4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugw9ap7mB3i5Fg5Pqnx4AaABAg
37,,@ElsaGatica-e5e,"2025-11-18 00:07:47",8,yes,no,"Kas miente y el asesor lo cubre  claro que lo sacaran y todas las ayudas sociales al pueblo no tendrán piedad ,y de donde sacará los seimillones de dolares de todo los chileno  por éso hay que vota por jara",UCfSqlBRIYzrPeYKiOcytCXg,Ugyppgl12VzQwLtwfBV4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugyppgl12VzQwLtwfBV4AaABAg
38,,@ElsaGatica-e5e,"2025-11-18 00:07:47",1,yes,no,"Seguro que si, en la población lo sacaron apuntan de polos",UCfSqlBRIYzrPeYKiOcytCXg,UgzU-K6j04ZttyOim2Z4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzU-K6j04ZttyOim2Z4AaABAg
